transaction_id,date,customer_id,item_name,quantity,price
T001,2025-01-05,C001,Bread,1,2.49
T001,2025-01-05,C001,Milk,2,3.49
T001,2025-01-05,C001,Eggs,1,4.99
T002,2025-01-05,C002,Milk,1,3.49
T002,2025-01-05,C002,Cheese,1,5.99
T002,2025-01-05,C002,Yogurt,2,1.99
T003,2025-01-06,C003,Bread,1,2.49
T003,2025-01-06,C003,Butter,1,3.99
T003,2025-01-06,C003,Jam,1,4.49
T004,2025-01-06,C004,Milk,1,3.49
T004,2025-01-06,C004,Cereal,1,4.99
T004,2025-01-06,C004,Bananas,3,0.99
T005,2025-01-07,C005,Coffee,1,7.99
T005,2025-01-07,C005,Sugar,1,2.99
T005,2025-01-07,C005,Cream,1,3.49
T006,2025-01-07,C001,Bread,1,2.49
T006,2025-01-07,C001,Cheese,1,5.99
T006,2025-01-07,C001,Ham,1,6.99
T007,2025-01-08,C006,Cereal,1,4.99
T007,2025-01-08,C006,Milk,1,3.49
T007,2025-01-08,C006,Bananas,2,0.99
T008,2025-01-08,C007,Coffee,1,7.99
T008,2025-01-08,C007,Cream,1,3.49
T009,2025-01-09,C008,Bread,1,2.49
T009,2025-01-09,C008,Butter,1,3.99
T009,2025-01-09,C008,Jam,1,4.49
T010,2025-01-09,C002,Yogurt,2,1.99
T010,2025-01-09,C002,Granola,1,5.49
T010,2025-01-09,C002,Berries,1,6.99
T011,2025-01-10,C003,Pasta,1,2.99
T011,2025-01-10,C003,Tomato Sauce,1,3.49
T011,2025-01-10,C003,Cheese,1,5.99
T012,2025-01-10,C004,Chicken,1,8.99
T012,2025-01-10,C004,Rice,1,4.49
T012,2025-01-10,C004,Vegetables,1,3.99
T013,2025-01-11,C005,Bread,1,2.49
T013,2025-01-11,C005,Eggs,1,4.99
T013,2025-01-11,C005,Bacon,1,6.99
T014,2025-01-11,C006,Tea,1,5.99
T014,2025-01-11,C006,Honey,1,7.49
T014,2025-01-11,C006,Lemon,3,0.99
T015,2025-01-12,C007,Milk,1,3.49
T015,2025-01-12,C007,Cookies,2,4.29
T016,2025-01-12,C008,Wine,1,12.99
T016,2025-01-12,C008,Cheese,1,5.99
T016,2025-01-12,C008,Crackers,1,3.99
T017,2025-01-13,C001,Coffee,1,7.99
T017,2025-01-13,C001,Milk,1,3.49
T017,2025-01-13,C001,Sugar,1,2.99
T018,2025-01-13,C002,Bread,1,2.49
T018,2025-01-13,C002,Ham,1,6.99
T018,2025-01-13,C002,Cheese,1,5.99
T019,2025-01-14,C003,Cereal,1,4.99
T019,2025-01-14,C003,Milk,1,3.49
T020,2025-01-14,C004,Eggs,1,4.99
T020,2025-01-14,C004,Bacon,1,6.99
T020,2025-01-14,C004,Bread,1,2.49
T021,2025-01-15,C005,Pasta,1,2.99
T021,2025-01-15,C005,Tomato Sauce,1,3.49
T021,2025-01-15,C005,Ground Beef,1,9.99
T022,2025-01-15,C006,Bread,1,2.49
T022,2025-01-15,C006,Peanut Butter,1,4.99
T022,2025-01-15,C006,Jelly,1,3.99
T023,2025-01-16,C007,Yogurt,2,1.99
T023,2025-01-16,C007,Granola,1,5.49
T023,2025-01-16,C007,Honey,1,7.49
T024,2025-01-16,C008,Coffee,1,7.99
T024,2025-01-16,C008,Cream,1,3.49
T024,2025-01-16,C008,Sugar,1,2.99
T025,2025-01-17,C001,Chicken,1,8.99
T025,2025-01-17,C001,Vegetables,1,3.99
T025,2025-01-17,C001,Rice,1,4.49
