appName,__v,appImg,_id,openedAt,userId,appId
Customer Segmentation,0,,6808a9262d8a29e04847d15f,2025-04-23 08:47:34.157000,67d30c0b658b0ea66471fdc8,1
Churn Prediction,0,ChartNoAxesColumn,6808d0fc2d8a29e04847d160,2025-05-19 06:21:59.985000,67d30c0b658b0ea66471fdc8,2
Sentiment Analysis,0,ScanFace,680905802d8a29e04847d162,2025-05-14 11:51:53.389000,67d30c0b658b0ea66471fdc8,8
Salary Prediction,0,HandCoins,680905872d8a29e04847d163,2025-05-15 06:22:40.426000,67d30c0b658b0ea66471fdc8,12
Customer Choice,0,Pipette,680905962d8a29e04847d164,2025-05-04 06:08:37.290000,67d30c0b658b0ea66471fdc8,11
CV Matcher,0,FileScan,680905a02d8a29e04847d165,2025-05-15 06:39:37.501000,67d30c0b658b0ea66471fdc8,9
Retention Prediction,0,ArrowLeftRight,680905a42d8a29e04847d166,2025-05-21 05:44:52.590000,67d30c0b658b0ea66471fdc8,10
Trend Analysis,0,TrendingUp,680908002d8a29e04847d167,2025-05-19 06:22:25.769000,67d30c0b658b0ea66471fdc8,3
Pricing Strategies,0,DollarSign,680909962d8a29e04847d168,2025-05-19 07:22:02.944000,67d30c0b658b0ea66471fdc8,4
Inventory Management,0,Package,6809c7e72d8a29e04847d169,2025-05-04 06:16:04.951000,67d30c0b658b0ea66471fdc8,5
Market Basket Analysis,0,AppWindow,6809f1a62d8a29e04847d16a,2025-05-16 09:40:20.826000,67d30c0b658b0ea66471fdc8,6
Customer Demand Prediction,0,TrendingUpDown,680cc02f9d89ca651b0ab385,2025-05-15 06:16:41.125000,67d30c0b658b0ea66471fdc8,7
Business Analysis,0,Factory,681710de9d89ca651b0ab389,2025-05-05 10:16:35.307000,67d30c0b658b0ea66471fdc8,13
