transaction_id,date,item_name,quantity
T0001,2024-01-30,Nuts,3
T0001,2024-01-30,Lettuce,2
T0001,2024-01-30,Cookies,3
T0001,2024-01-30,Paper Towels,3
T0001,2024-01-30,Beef,1
T0001,2024-01-30,Toilet Paper,3
T0001,2024-01-30,Soda,1
T0002,2024-01-09,Bread,3
T0002,2024-01-09,Cheese,2
T0002,2024-01-09,Lettuce,1
T0003,2024-01-21,Cake,1
T0003,2024-01-21,Juice,2
T0004,2024-01-16,Bread,3
T0004,2024-01-16,Cheese,3
T0004,2024-01-16,Lettuce,2
T0004,2024-01-16,Tomatoes,1
T0004,2024-01-16,Coffee,3
T0005,2024-01-07,Chicken,3
T0005,2024-01-07,Lettuce,3
T0005,2024-01-07,Tomatoes,2
T0005,2024-01-07,Milk,2
T0005,2024-01-07,Bagels,2
T0005,2024-01-07,Turkey,1
T0005,2024-01-07,Sausages,2
T0005,2024-01-07,Juice,1
T0006,2024-01-17,Tomatoes,2
T0006,2024-01-17,Bagels,2
T0006,2024-01-17,Soda,3
T0006,2024-01-17,Muffins,2
T0006,2024-01-17,Bananas,3
T0007,2024-01-19,Candy,2
T0008,2024-01-01,Chips,3
T0008,2024-01-01,Tea,1
T0008,2024-01-01,Coffee,2
T0009,2024-01-14,Crackers,2
T0009,2024-01-14,Cheese,2
T0009,2024-01-14,Detergent,2
T0009,2024-01-14,Oranges,1
T0009,2024-01-14,Tea,3
T0009,2024-01-14,Cookies,2
T0009,2024-01-14,Milk,3
T0009,2024-01-14,Bananas,3
T0010,2024-01-10,Pork,3
T0010,2024-01-10,Turkey,2
T0011,2024-01-28,Crackers,2
T0011,2024-01-28,Tomatoes,2
T0011,2024-01-28,Cake,3
T0011,2024-01-28,Pork,3
T0011,2024-01-28,Detergent,2
T0011,2024-01-28,Lettuce,3
T0011,2024-01-28,Milk,1
T0011,2024-01-28,Candy,2
T0011,2024-01-28,Juice,3
T0011,2024-01-28,Trash Bags,2
T0012,2024-01-17,Chips,3
T0012,2024-01-17,Soda,3
T0012,2024-01-17,Candy,2
T0012,2024-01-17,Sausages,3
T0012,2024-01-17,Tea,2
T0012,2024-01-17,Cookies,1
T0013,2024-01-30,Nuts,2
T0013,2024-01-30,Trash Bags,2
T0013,2024-01-30,Apples,1
T0013,2024-01-30,Lettuce,2
T0013,2024-01-30,Muffins,2
T0013,2024-01-30,Soap,1
T0013,2024-01-30,Turkey,3
T0013,2024-01-30,Sausages,1
T0013,2024-01-30,Beef,2
T0013,2024-01-30,Cookies,2
T0014,2024-01-01,Paper Towels,2
T0014,2024-01-01,Toilet Paper,3
T0014,2024-01-01,Detergent,1
T0014,2024-01-01,Tomatoes,1
T0014,2024-01-01,Lettuce,3
T0015,2024-01-07,Turkey,3
T0015,2024-01-07,Milk,2
T0016,2024-01-21,Chips,3
T0016,2024-01-21,Soda,1
T0016,2024-01-21,Detergent,3
T0016,2024-01-21,Bagels,1
T0016,2024-01-21,Milk,1
T0017,2024-01-22,Soda,1
T0017,2024-01-22,Sausages,3
T0017,2024-01-22,Bread,3
T0017,2024-01-22,Muffins,1
T0017,2024-01-22,Toilet Paper,1
T0017,2024-01-22,Turkey,2
T0017,2024-01-22,Chicken,3
T0017,2024-01-22,Cookies,3
T0017,2024-01-22,Detergent,1
T0017,2024-01-22,Water,2
T0018,2024-01-03,Bread,3
T0018,2024-01-03,Cheese,1
T0018,2024-01-03,Lettuce,2
T0018,2024-01-03,Tomatoes,3
T0018,2024-01-03,Juice,1
T0018,2024-01-03,Croissants,1
T0018,2024-01-03,Pork,2
T0019,2024-01-06,Cheese,2
T0020,2024-01-03,Chicken,1
T0020,2024-01-03,Lettuce,3
T0020,2024-01-03,Yogurt,1
T0021,2024-01-23,Bananas,3
T0021,2024-01-23,Tea,1
T0021,2024-01-23,Pork,1
T0021,2024-01-23,Candy,2
T0021,2024-01-23,Juice,2
T0022,2024-01-11,Croissants,3
T0022,2024-01-11,Apples,3
T0022,2024-01-11,Cheese,3
T0023,2024-01-25,Bagels,3
T0023,2024-01-25,Cream,1
T0023,2024-01-25,Coffee,2
T0023,2024-01-25,Cookies,3
T0023,2024-01-25,Yogurt,2
T0023,2024-01-25,Crackers,3
T0023,2024-01-25,Toilet Paper,3
T0023,2024-01-25,Detergent,1
T0023,2024-01-25,Sausages,1
T0024,2024-01-07,Trash Bags,2
T0024,2024-01-07,Chicken,2
T0024,2024-01-07,Bread,2
T0024,2024-01-07,Beef,1
T0024,2024-01-07,Nuts,1
T0024,2024-01-07,Muffins,1
T0024,2024-01-07,Cake,1
T0024,2024-01-07,Detergent,2
T0024,2024-01-07,Butter,3
T0024,2024-01-07,Pork,1
T0025,2024-01-02,Nuts,3
T0025,2024-01-02,Coffee,3
T0026,2024-01-12,Tea,2
T0026,2024-01-12,Pork,1
T0026,2024-01-12,Butter,2
T0026,2024-01-12,Paper Towels,1
T0026,2024-01-12,Cheese,3
T0026,2024-01-12,Soap,1
T0027,2024-01-19,Detergent,3
T0027,2024-01-19,Cream,2
T0027,2024-01-19,Cheese,2
T0027,2024-01-19,Nuts,2
T0027,2024-01-19,Chips,1
T0027,2024-01-19,Juice,1
T0027,2024-01-19,Muffins,2
T0027,2024-01-19,Soap,1
T0027,2024-01-19,Crackers,2
T0028,2024-01-27,Bread,1
T0028,2024-01-27,Butter,2
T0028,2024-01-27,Milk,1
T0028,2024-01-27,Coffee,1
T0028,2024-01-27,Bananas,1
T0028,2024-01-27,Tomatoes,1
T0028,2024-01-27,Oranges,3
T0028,2024-01-27,Chips,3
T0029,2024-01-10,Nuts,2
T0030,2024-01-14,Paper Towels,1
T0030,2024-01-14,Toilet Paper,2
T0030,2024-01-14,Detergent,3
T0030,2024-01-14,Turkey,3
T0030,2024-01-14,Tea,1
T0030,2024-01-14,Croissants,2
T0031,2024-01-29,Lettuce,3
T0031,2024-01-29,Cookies,3
T0031,2024-01-29,Beef,2
T0031,2024-01-29,Trash Bags,2
T0031,2024-01-29,Cake,2
T0032,2024-01-29,Chips,3
T0032,2024-01-29,Soda,3
T0032,2024-01-29,Paper Towels,3
T0032,2024-01-29,Detergent,2
T0032,2024-01-29,Juice,2
T0033,2024-01-28,Beef,1
T0033,2024-01-28,Potatoes,3
T0033,2024-01-28,Soda,3
T0034,2024-01-01,Cream,3
T0034,2024-01-01,Water,1
T0035,2024-01-19,Croissants,1
T0035,2024-01-19,Juice,2
T0035,2024-01-19,Yogurt,2
T0036,2024-01-22,Tomatoes,2
T0037,2024-01-21,Crackers,3
T0037,2024-01-21,Cheese,2
T0037,2024-01-21,Chicken,1
T0037,2024-01-21,Butter,1
T0038,2024-01-20,Cookies,3
T0038,2024-01-20,Milk,1
T0038,2024-01-20,Apples,2
T0038,2024-01-20,Lettuce,3
T0038,2024-01-20,Cream,1
T0038,2024-01-20,Beef,3
T0038,2024-01-20,Water,2
T0038,2024-01-20,Tomatoes,1
T0038,2024-01-20,Paper Towels,2
T0038,2024-01-20,Oranges,2
T0039,2024-01-31,Croissants,1
T0039,2024-01-31,Juice,1
T0039,2024-01-31,Yogurt,3
T0039,2024-01-31,Soap,1
T0039,2024-01-31,Tomatoes,2
T0040,2024-01-14,Tea,3
T0040,2024-01-14,Bread,3
T0040,2024-01-14,Cake,1
T0040,2024-01-14,Milk,2
T0040,2024-01-14,Sausages,3
T0040,2024-01-14,Soap,1
T0041,2024-01-29,Chicken,2
T0041,2024-01-29,Lettuce,1
T0041,2024-01-29,Tomatoes,1
T0041,2024-01-29,Yogurt,3
T0041,2024-01-29,Cake,1
T0041,2024-01-29,Beef,2
T0041,2024-01-29,Crackers,2
T0041,2024-01-29,Nuts,1
T0042,2024-01-31,Bagels,2
T0042,2024-01-31,Cream,3
T0042,2024-01-31,Coffee,2
T0042,2024-01-31,Tea,1
T0042,2024-01-31,Yogurt,2
T0042,2024-01-31,Cheese,1
T0042,2024-01-31,Croissants,3
T0043,2024-01-17,Crackers,3
T0043,2024-01-17,Cheese,3
T0043,2024-01-17,Oranges,2
T0043,2024-01-17,Trash Bags,1
T0044,2024-01-05,Cookies,1
T0044,2024-01-05,Sausages,1
T0044,2024-01-05,Bread,2
T0044,2024-01-05,Detergent,1
T0044,2024-01-05,Turkey,2
T0044,2024-01-05,Cheese,1
T0044,2024-01-05,Toilet Paper,3
T0044,2024-01-05,Water,2
T0045,2024-01-02,Bread,3
T0045,2024-01-02,Butter,1
T0045,2024-01-02,Milk,1
T0046,2024-01-12,Tea,3
T0047,2024-01-15,Yogurt,1
T0047,2024-01-15,Juice,3
T0048,2024-01-24,Chips,1
T0048,2024-01-24,Soda,1
T0048,2024-01-24,Crackers,3
T0049,2024-01-29,Bread,1
T0049,2024-01-29,Cheese,2
T0049,2024-01-29,Lettuce,3
T0049,2024-01-29,Tomatoes,2
T0049,2024-01-29,Bananas,3
T0050,2024-01-09,Chips,1
T0050,2024-01-09,Soda,1
T0050,2024-01-09,Candy,2
T0050,2024-01-09,Trash Bags,3
T0050,2024-01-09,Tomatoes,2
T0050,2024-01-09,Lettuce,2
T0050,2024-01-09,Toilet Paper,1
T0050,2024-01-09,Croissants,2
T0050,2024-01-09,Cream,2
T0051,2024-01-30,Sausages,2
T0052,2024-01-22,Chips,1
T0052,2024-01-22,Soda,1
T0052,2024-01-22,Candy,3
T0052,2024-01-22,Paper Towels,3
T0052,2024-01-22,Bread,2
T0052,2024-01-22,Detergent,3
T0052,2024-01-22,Cookies,3
T0053,2024-01-12,Beef,3
T0053,2024-01-12,Potatoes,1
T0053,2024-01-12,Soda,2
T0053,2024-01-12,Tomatoes,1
T0053,2024-01-12,Bread,3
T0053,2024-01-12,Chicken,1
T0054,2024-01-15,Trash Bags,3
T0054,2024-01-15,Cream,3
T0054,2024-01-15,Beef,2
T0055,2024-01-16,Beef,2
T0055,2024-01-16,Potatoes,1
T0055,2024-01-16,Soda,2
T0056,2024-01-01,Bread,3
T0056,2024-01-01,Butter,3
T0056,2024-01-01,Milk,2
T0056,2024-01-01,Coffee,1
T0056,2024-01-01,Muffins,1
T0056,2024-01-01,Chicken,3
T0056,2024-01-01,Cream,1
T0056,2024-01-01,Oranges,1
T0056,2024-01-01,Water,1
T0057,2024-01-10,Bread,1
T0057,2024-01-10,Cheese,2
T0057,2024-01-10,Lettuce,3
T0058,2024-01-25,Beef,2
T0058,2024-01-25,Chips,1
T0059,2024-01-11,Cheese,1
T0060,2024-01-25,Beef,1
T0060,2024-01-25,Potatoes,2
T0060,2024-01-25,Soda,1
T0060,2024-01-25,Sausages,3
T0060,2024-01-25,Water,3
